codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
41986,41986,INCIDENTE,GUARULHOS,SP,SBGR,11/03/2010,03:00:00,0
40260,40260,INCIDENTE,BELO HORIZONTE,MG,****,12/03/2010,18:10:00,0
41988,41988,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,12/03/2010,03:00:00,0
40027,40027,INCIDENTE,BLUMENAU,SC,SSBL,15/03/2010,21:05:00,0
40320,40320,INCIDENTE,GUARULHOS,SP,SBGR,15/03/2010,09:57:00,0
40322,40322,INCIDENTE,BELÉM,PA,SBJC,15/03/2010,18:15:00,0
40307,40307,INCIDENTE,BELÉM,PA,SBJC,16/03/2010,20:00:00,0
40168,40168,INCIDENTE,MONTES CLAROS,MG,SBMK,17/03/2010,01:34:00,0
40329,40329,INCIDENTE,SÃO PAULO,SP,SBSP,18/03/2010,12:10:00,0
41998,41998,INCIDENTE,CONFINS,MG,SBCF,18/03/2010,13:37:00,0
41999,41999,INCIDENTE,GUARULHOS,SP,SBGR,18/03/2010,03:00:00,0
40088,40088,ACIDENTE,UIRAMUTÃ,RR,****,19/03/2010,13:10:00,3
